,Akt,AP1,apoptosis,ASK1,Bad,Bax,Bcl2,Bcl2t,Bim,CAD,cas3,cas9,cellDeath,CREB,cytc,DNAfrag,EGF,EGFR,ERBB,ERK12,FGF,FGFR,FLT3,FLT3L,iCAD,iCADt,IGF1,IGF1R,IkB,IKK,JAK,JNK,KIT,LRP1,LRP1ag,MEK12,MEK36,MEK47,MOMP,NFkB,NOX,Noxa,NRG1,p38,p53,PARP,PDGF,PDGFR,PDK1,PI3K,PKC,PUMA,Raf,Ras,ROS,RSK,SCF,Shc1,Shp2,Smac,Src,STAT,Trx,Trxt,VEGF,VEGFR,xIAP,xIAPt
iCAD,-0.06151406029994017,0.8929029992458142,3.094677292203585e-13,0.8931874776468097,0.016882073719569894,0.9383091324475241,-0.06169086755247583,-0.06169086755247583,0.017049654384376604,3.094677292203585e-13,0.9383091324475241,0.3530604465028329,3.064076770087354e-13,-0.005002543528344124,0.09754025481580969,3.094677292203585e-13,-0.024320689542752967,-0.024320689542752967,-0.024320689542752967,-0.005002543528344124,-0.024320689542752967,-0.024320689542752967,-0.024320689542752967,-0.024320689542752967,-0.06169086755247583,-0.06169086755247583,-0.024320689542752967,-0.024320689542752967,0.002325873827129392,-0.005124233372129368,-0.0034632751141333087,0.8931832153503301,-0.024320689542752967,3.0245250748350827e-13,3.0245250748350827e-13,-0.005002543528344124,0.002903937591805121,0.8931832153503301,0.9383091324475241,-0.005124233372129368,3.0245250748350827e-13,0.016373919403883712,-0.024320689542752967,0.002903937591805121,0.8929029992458142,3.094677292203585e-13,-0.03584102454456912,-0.03584102454456912,-0.06151406029994017,-0.06151406029994017,3.0245250748350827e-13,0.016373919403883712,-0.005002543528344124,-0.005002543528344124,0.9383091324475241,-0.005002543528344124,-0.024320689542752967,3.0245250748350827e-13,3.0245250748350827e-13,0.3546783025503088,-0.015458692316099372,-0.0034632751141333087,-0.06169086755247583,-0.06169086755247583,-0.024320689542752967,-0.024320689542752967,-0.06169086755247583,-0.06169086755247583
iCADt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1353008911886673,-0.1353008911886673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IkB,0.6216065721040607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06516354675201685,0.06516354675201685,0.06516354675201685,0.0,0.06516354675201685,0.06516354675201685,0.06516354675201685,0.06516354675201685,0.0,0.0,0.06516354675201685,0.06516354675201685,-0.3783934278959393,0.6216065721040607,0.0,0.0,0.06516354675201685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06516354675201685,0.0,0.0,0.0,0.11153364988930414,0.11153364988930414,0.6216065721040607,0.6216065721040607,0.0,0.0,0.0,0.0,0.0,0.0,0.06516354675201685,0.0,0.0,0.0,0.03862663393621757,0.0,0.0,0.0,0.06516354675201685,0.06516354675201685,0.0,0.0
IKK,-0.6100023951140293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05951606156270628,-0.05951606156270628,-0.05951606156270628,0.0,-0.05951606156270628,-0.05951606156270628,-0.05951606156270628,-0.05951606156270628,0.0,0.0,-0.05951606156270628,-0.05951606156270628,0.0,-0.6100023951140293,0.0,0.0,-0.05951606156270628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05951606156270628,0.0,0.0,0.0,-0.10105336426107936,-0.10105336426107936,-0.6100023951140293,-0.6100023951140293,0.0,0.0,0.0,0.0,0.0,0.0,-0.05951606156270628,0.0,0.0,0.0,-0.03545666218104415,0.0,0.0,0.0,-0.05951606156270628,-0.05951606156270628,0.0,0.0
JAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047352493376792926,-0.047352493376792926,-0.047352493376792926,0.0,-0.047352493376792926,-0.047352493376792926,-0.047352493376792926,-0.047352493376792926,0.0,0.0,-0.047352493376792926,-0.047352493376792926,0.0,0.0,-0.5536225771589858,0.0,-0.047352493376792926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047352493376792926,0.0,0.0,0.0,-0.047352493376792926,-0.047352493376792926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047352493376792926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047352493376792926,-0.047352493376792926,0.0,0.0
JNK,0.1813333248746712,0.0,0.0,-0.45941818177978017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018521602458819453,0.018521602458819453,0.018521602458819453,0.0,0.018521602458819453,0.018521602458819453,0.018521602458819453,0.018521602458819453,0.0,0.0,0.018521602458819453,0.018521602458819453,0.0,0.0,0.0,-0.45941818177978017,0.018521602458819453,0.0,0.0,0.0,0.0,-0.45941818177978017,0.0,0.0,0.0,0.0,0.018521602458819453,0.0,0.0,0.0,0.03136353124605035,0.03136353124605035,0.1813333248746712,0.1813333248746712,0.0,0.0,0.0,0.0,-0.45941818177978017,0.0,0.018521602458819453,0.0,0.0,0.0,0.011050696147657246,0.0,0.5405818182202198,0.5405818182202198,0.018521602458819453,0.018521602458819453,0.0,0.0
KIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1353008911886673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1353008911886673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP1ag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEK12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05417625948992921,-0.05417625948992921,-0.05417625948992921,0.0,-0.05417625948992921,-0.05417625948992921,-0.05417625948992921,-0.05417625948992921,0.0,0.0,-0.05417625948992921,-0.05417625948992921,0.0,0.0,0.0,0.0,-0.05417625948992921,0.0,0.0,-0.599292593960972,0.0,0.0,0.0,0.0,0.0,0.0,-0.05417625948992921,0.0,0.0,0.0,-0.09134325563173962,-0.09134325563173962,0.0,0.0,0.0,0.0,-0.599292593960972,-0.599292593960972,0.0,0.0,-0.05417625948992921,0.0,0.0,0.0,-0.03241855601191668,0.0,0.0,0.0,-0.05417625948992921,-0.05417625948992921,0.0,0.0
MEK36,0.16362093109891473,0.0,0.0,-0.46416682450091706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01631365969708254,0.01631365969708254,0.01631365969708254,0.0,0.01631365969708254,0.01631365969708254,0.01631365969708254,0.01631365969708254,0.0,0.0,0.01631365969708254,0.01631365969708254,0.0,0.0,0.0,0.0,0.01631365969708254,0.0,0.0,0.0,-0.46416682450091706,0.0,0.0,0.0,0.0,0.0,0.01631365969708254,0.0,0.0,0.0,0.027663872467809714,0.027663872467809714,0.16362093109891473,0.16362093109891473,0.0,0.0,0.0,0.0,-0.46416682450091706,0.0,0.01631365969708254,0.0,0.0,0.0,0.009725747666169182,0.0,0.5358331754990829,0.5358331754990829,0.01631365969708254,0.01631365969708254,0.0,0.0
MEK47,0.16362093109891473,0.0,0.0,-0.46416682450091706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01631365969708254,0.01631365969708254,0.01631365969708254,0.0,0.01631365969708254,0.01631365969708254,0.01631365969708254,0.01631365969708254,0.0,0.0,0.01631365969708254,0.01631365969708254,0.0,0.0,0.0,0.0,0.01631365969708254,0.0,0.0,0.0,0.0,-0.46416682450091706,0.0,0.0,0.0,0.0,0.01631365969708254,0.0,0.0,0.0,0.027663872467809714,0.027663872467809714,0.16362093109891473,0.16362093109891473,0.0,0.0,0.0,0.0,-0.46416682450091706,0.0,0.01631365969708254,0.0,0.0,0.0,0.009725747666169182,0.0,0.5358331754990829,0.5358331754990829,0.01631365969708254,0.01631365969708254,0.0,0.0
MOMP,0.3348122472794022,-0.4431198597280176,0.0,-0.443349130231512,-0.024700819385566675,-0.5540634229706044,0.4459365770293956,0.4459365770293956,-0.024923757982662886,0.0,0.0,0.0,0.0,0.008356278505533998,0.0,0.0,0.04751362240555834,0.04751362240555834,0.04751362240555834,0.008356278505533998,0.04751362240555834,0.04751362240555834,0.04751362240555834,0.04751362240555834,0.0,0.0,0.04751362240555834,0.04751362240555834,-0.0037018144464248115,0.008566774863359772,0.005724363825267309,-0.44334568850837325,0.04751362240555834,0.0,0.0,0.008356278505533998,-0.004605141773323385,-0.44334568850837325,-0.5540634229706044,0.008566774863359772,0.0,-0.024022473048093573,0.04751362240555834,-0.004605141773323385,-0.4431198597280176,0.0,0.07949402753831436,0.07949402753831436,0.3348122472794022,0.3348122472794022,0.0,-0.024022473048093573,0.008356278505533998,0.008356278505533998,-0.5540633523151439,0.008356278505533998,0.04751362240555834,0.0,0.0,0.0,0.027927954186853343,0.005724363825267309,0.4459365770293956,0.4459365770293956,0.04751362240555834,0.04751362240555834,0.0,0.0
