,Akt,AP1,apoptosis,ASK1,Bad,Bax,Bcl2,Bcl2t,Bim,CAD,cas3,cas9,cellDeath,CREB,cytc,DNAfrag,EGF,EGFR,ERBB,ERK12,FGF,FGFR,FLT3,FLT3L,iCAD,iCADt,IGF1,IGF1R,IkB,IKK,JAK,JNK,KIT,LRP1,LRP1ag,MEK12,MEK36,MEK47,MOMP,NFkB,NOX,Noxa,NRG1,p38,p53,PARP,PDGF,PDGFR,PDK1,PI3K,PKC,PUMA,Raf,Ras,ROS,RSK,SCF,Shc1,Shp2,Smac,Src,STAT,Trx,Trxt,VEGF,VEGFR,xIAP,xIAPt
Akt,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.400707406039028,-0.400707406039028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP1,0.3421185253917668,-0.31248613280072457,-6.661338147750939e-16,-0.31248613280072457,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-5.551115123125783e-17,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-6.661338147750939e-16,5.551115123125783e-17,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,-1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,-5.551115123125783e-17,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,-0.31248613280072457,0.0,0.14152780612779448,0.14152780612779448,0.0,0.0,-0.31248613280072457,5.551115123125783e-17,0.0,0.0,-1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,-5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.3421185253917668,0.3421185253917668,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,5.551115123125783e-17,-0.31248613280072457,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.6875138671992754,0.6875138671992753,0.0,0.0,1.1102230246251565e-16,-5.551115123125783e-17
apoptosis,0.957881008584652,-0.04209650496790402,-0.04209650496790402,-0.04209650496790402,-0.0022966951190467044,-0.04209650496790402,0.9579034950320958,0.9579034950320959,-0.002296695119046753,-0.04209650496790402,-0.04209650496790402,-0.04138610495960246,3.2612801348363973e-16,0.0,-0.03582374941804385,-0.04209650496790402,3.469446951953614e-17,6.938893903907228e-18,-4.787836793695988e-16,2.498001805406602e-16,3.469446951953614e-17,-4.787836793695988e-16,6.938893903907228e-18,0.0,0.21531386153165077,0.21531386153165022,0.0,-4.787836793695988e-16,0.0,7.632783294297951e-17,-4.787836793695988e-16,-0.04209650496790402,6.938893903907228e-18,0.9054682861236457,0.9054682861236457,6.938893903907228e-18,-0.0010722657123388296,-0.04209650496790402,-0.04209650496790402,0.0,0.0,-0.002296695119046989,3.469446951953614e-17,-0.0010722657123386006,-0.04209650496790402,0.18167957493843062,6.938893903907228e-18,0.0,0.957881008584652,0.957881008584652,1.3877787807814457e-17,-0.002296695119046989,-4.926614671774132e-16,3.469446951953614e-17,-0.04209650496790402,1.3877787807814457e-17,0.0,0.0,3.469446951953614e-16,-0.041825784250404466,0.0,0.0,0.9579034950320959,0.9579034950320957,0.0,6.938893903907228e-18,0.9579034950320959,0.9579034950320958
ASK1,0.2416139144905396,-5.551115123125783e-17,-3.885780586188048e-16,-0.37411461815480374,0.0,0.0,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,-3.885780586188048e-16,0.0,0.0,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.09422884795843423,0.09422884795843423,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.2416139144905396,0.2416139144905396,0.0,-5.551115123125783e-17,-5.551115123125783e-17,0.0,-0.37411461815480374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258853818451963,0.6258853818451963,0.0,0.0,0.0,0.0
Bad,0.6875138671992754,-1.1102230246251565e-16,-6.661338147750939e-16,-0.31248613280072457,-0.31248613280072457,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-5.551115123125783e-17,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-6.661338147750939e-16,5.551115123125783e-17,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,5.551115123125783e-17,-1.1102230246251565e-16,0.0,0.0,5.551115123125783e-17,-5.551115123125783e-17,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,-0.31248613280072457,0.0,0.3544610622467973,0.3544610622467973,0.0,0.0,-0.31248613280072457,5.551115123125783e-17,0.0,0.0,-1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16,-5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0,0.6875138671992754,0.6875138671992754,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,5.551115123125783e-17,-0.31248613280072457,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.6875138671992754,0.6875138671992753,0.0,0.0,1.1102230246251565e-16,-5.551115123125783e-17
Bax,0.6086303671840622,-0.25702460874190347,-9.992007221626409e-16,-0.25702460874190347,-0.0014824128143596238,-0.25702460874190347,0.7429753912580965,0.7429753912580965,-0.0014824128143596238,-3.3306690738754696e-16,-3.3306690738754696e-16,0.0,2.7755575615628914e-16,0.0,2.7755575615628914e-16,-9.992007221626409e-16,1.1102230246251565e-16,0.0,-5.551115123125783e-17,2.7755575615628914e-16,1.1102230246251565e-16,-5.551115123125783e-17,0.0,0.0,1.6653345369377348e-16,0.0,0.0,-5.551115123125783e-17,0.0,2.220446049250313e-16,-5.551115123125783e-17,-0.25702460874190347,0.0,0.2913152062724428,0.2913152062724428,0.0,-0.0006843689668731834,-0.25702460874190347,-5.551115123125783e-17,0.0,0.0,-0.0014824128143596793,1.1102230246251565e-16,-0.0006843689668730168,-0.25702460874190325,2.220446049250313e-16,0.0,0.0,0.6086303671840622,0.6086303671840622,0.0,-0.0014824128143596793,-5.551115123125783e-17,1.1102230246251565e-16,-0.25702460874190347,0.0,0.0,0.0,2.7755575615628914e-16,2.7755575615628914e-16,0.0,0.0,0.7429753912580965,0.7429753912580965,0.0,0.0,2.7755575615628914e-16,0.0
Bcl2,-0.31936202251322,0.0023293480379321663,1.1102230246251565e-16,0.0023293480379321663,0.0023293480379321663,0.0,-0.9976706519620678,-0.9976706519620678,0.0023293480379321663,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,-2.220446049250313e-16,-1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,-1.1102230246251565e-16,-2.220446049250313e-16,0.0023293480379321663,0.0,-0.05404616625736036,-0.05404616625736036,0.0,0.0010748979593906416,0.0023293480379321663,0.0,0.0,0.0,0.0023293480379320552,0.0,0.0010748979593904195,0.0023293480379320552,-1.1102230246251565e-16,0.0,0.0,-0.31936202251322,-0.31936202251322,0.0,0.0023293480379320552,-2.220446049250313e-16,0.0,0.0023293480379321663,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-0.9976706519620674,-0.9976706519620672,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
Bcl2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039789163308908804,-0.039789163308908804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bim,0.4726753175913029,-2.220446049250313e-16,-9.992007221626409e-16,-0.5273246824086971,0.0,-2.220446049250313e-16,-2.220446049250313e-16,1.1102230246251565e-16,-0.5273246824086971,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-9.992007221626409e-16,0.0,0.0,-2.220446049250313e-16,1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,-1.1102230246251565e-16,0.0,-2.220446049250313e-16,0.0,1.1102230246251565e-16,-2.220446049250313e-16,-0.2148385496079725,0.0,0.29083312848649123,0.29083312848649123,0.0,-0.21483854960797255,-0.2148385496079726,0.0,0.0,0.0,-2.220446049250313e-16,0.0,-0.21483854960797244,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.4726753175913029,0.4726753175913029,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,-0.5273246824086971,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.4726753175913029,0.4726753175913029,0.0,0.0,1.1102230246251565e-16,-1.1102230246251565e-16
CAD,0.7125423236802564,-0.2874434784218825,-4.3298697960381105e-15,-0.2874434784218825,-0.005130665099149168,-0.2874434784218825,0.7125565215781176,0.7125565215781176,-0.005130665099149279,-0.2874434784218825,-0.2874434784218825,-0.20556763300599262,6.661338147750939e-16,0.0,-0.12892031857717243,-4.3298697960381105e-15,0.0,0.0,-1.1102230246251565e-15,4.996003610813204e-16,0.0,-1.1102230246251565e-15,0.0,0.0,0.7125565215781176,0.7125565215781176,0.0,-1.1102230246251565e-15,0.0,1.1102230246251565e-16,-1.1102230246251565e-15,-0.2874434784218825,0.0,0.6797990704100023,0.6797990704100023,0.0,-0.0023725471489658423,-0.2874434784218825,-0.2874434784218825,0.0,0.0,-0.005130665099149834,0.0,-0.0023725471489653427,-0.2874434784218825,1.1102230246251565e-16,0.0,0.0,0.7125423236802564,0.7125423236802564,0.0,-0.005130665099149834,-1.1102230246251565e-15,0.0,-0.2874434784218825,0.0,0.0,0.0,7.216449660063518e-16,-0.22616687848345324,0.0,0.0,0.7125565215781176,0.7125565215781173,0.0,0.0,0.7125565215781176,0.7125565215781176
cas3,0.6711860546178605,-0.32853051691044877,-3.4416913763379853e-15,-0.32853051691044877,-0.0043470016911248965,-0.32853051691044877,0.6714694830895512,0.6714694830895512,-0.0043470016911248965,-1.1102230246251565e-15,-0.32853051691044877,-0.19644631809651095,5.551115123125783e-16,0.0,-0.11586403698836004,-3.4416913763379853e-15,1.1102230246251565e-16,0.0,-8.881784197001252e-16,4.996003610813204e-16,1.1102230246251565e-16,-8.881784197001252e-16,0.0,0.0,0.0,-4.440892098500626e-16,0.0,-8.881784197001252e-16,0.0,3.3306690738754696e-16,-8.881784197001252e-16,-0.32853051691044877,0.0,0.6009773113230455,0.6009773113230455,5.551115123125783e-17,-0.002008191800228265,-0.32853051691044877,-0.32853051691044877,0.0,0.0,-0.004347001691125396,1.1102230246251565e-16,-0.00200819180022771,-0.32853051691044877,3.3306690738754696e-16,0.0,0.0,0.6711860546178605,0.6711860546178605,5.551115123125783e-17,-0.004347001691125396,-8.881784197001252e-16,5.551115123125783e-17,-0.32853051691044877,5.551115123125783e-17,0.0,5.551115123125783e-17,5.551115123125783e-16,-0.22125115006408375,0.0,0.0,0.6714694830895512,0.6714694830895512,0.0,0.0,0.6714694830895512,0.6714694830895512
cas9,0.734678972091781,-0.2597191019105242,-2.3869795029440866e-15,-0.2597191019105242,-0.0031003332329349598,-0.2597191019105242,0.7402808980894757,0.7402808980894757,-0.0031003332329349598,-7.216449660063518e-16,-7.216449660063518e-16,-0.2597191019105242,4.440892098500626e-16,0.0,-0.12763490309658604,-2.3869795029440866e-15,1.1102230246251565e-16,0.0,-4.996003610813204e-16,4.440892098500626e-16,1.1102230246251565e-16,-4.996003610813204e-16,0.0,0.0,1.1102230246251565e-16,-2.220446049250313e-16,0.0,-4.996003610813204e-16,0.0,3.3306690738754696e-16,-4.996003610813204e-16,-0.2597191019105242,0.0,0.5571292646969213,0.5571292646969213,5.551115123125783e-17,-0.0014325150350991689,-0.2597191019105242,-0.2597191019105242,0.0,0.0,-0.0031003332329352373,1.1102230246251565e-16,-0.0014325150350988358,-0.2597191019105242,3.3306690738754696e-16,0.0,0.0,0.734678972091781,0.734678972091781,5.551115123125783e-17,-0.0031003332329352373,-4.996003610813204e-16,5.551115123125783e-17,-0.2597191019105242,5.551115123125783e-17,0.0,5.551115123125783e-17,4.440892098500626e-16,-0.11266001746688886,0.0,0.0,0.7402808980894757,0.7402808980894757,0.0,0.0,0.7402808980894757,0.7402808980894757
cellDeath,0.9806944593116764,-0.019286333264685818,-0.019286333264685818,-0.019286333264685818,-0.0014467233360149316,-0.019286333264685818,0.980713666735314,0.9807136667353142,-0.0014467233360149594,-0.019286333264685818,-0.019286333264685818,-0.01922226006125127,-0.019286333264685818,0.0,-0.017934895762138775,-0.019286333264685818,2.0816681711721685e-17,3.469446951953614e-18,-3.0531133177191805e-16,1.5959455978986625e-16,2.0816681711721685e-17,-3.0531133177191805e-16,3.469446951953614e-18,0.0,0.20448974664164857,0.20448974664164798,0.0,-3.0531133177191805e-16,0.0,4.85722573273506e-17,-3.0531133177191805e-16,-0.019286333264685818,3.469446951953614e-18,0.9351083380381531,0.9351083380381531,3.469446951953614e-18,-0.0006792700726752157,-0.019286333264685818,-0.019286333264685818,0.0,0.0,-0.001446723336015105,2.0816681711721685e-17,-0.0006792700726750735,-0.019286333264685818,0.16755560933006772,3.469446951953614e-18,0.0,0.9806944593116764,0.9806944593116764,1.0408340855860843e-17,-0.001446723336015105,-3.122502256758253e-16,2.0816681711721685e-17,-0.019286333264685818,1.0408340855860843e-17,0.0,0.0,2.255140518769849e-16,-0.019269733175381495,0.0,0.0,0.9807136667353142,0.9807136667353138,0.0,3.469446951953614e-18,0.9807136667353142,0.980713666735314
